train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,eval/mean_ep_length,train/clip_fraction,time/total_timesteps,train/n_updates,eval/mean_reward,time/time_elapsed,time/iterations,time/fps
0.0003,-2.708049807548523,188607.109375,2.782643e-08,1.1920928955078125e-07,-2.568294200955279e-06,0.2,380305.6653125,100000.0,0.0,300000,400,-3695926.5,,,
0.0003,-2.708049764633179,188413.4375,2.3887555e-08,-1.1920928955078125e-07,3.0442622394843967e-06,0.2,378308.1209375,100000.0,0.0,600000,900,-3696983.0,,,
,,,,,,,,,,600000,,,1992,10,301
0.0003,-2.7080497264862062,187427.671875,3.6132334e-08,-2.384185791015625e-07,-1.6193199182712449e-06,0.2,376149.6734375,100000.0,0.0,900000,1400,-3696384.05,,,
0.0003,-2.7080497431755064,186410.421875,2.36849e-08,0.0,-4.5858685031596736e-07,0.2,374055.3196875,100000.0,0.0,1200000,1900,-3696039.4,,,
,,,,,,,,,,1200000,,,4062,20,295
0.0003,-2.7080496740341187,185401.578125,2.769828e-08,-1.1920928955078125e-07,-9.189017580535363e-07,0.2,372009.3275,100000.0,0.0,1500000,2400,-3696181.6,,,
0.0003,-2.7080486631393432,184398.640625,5.935331e-08,0.0,6.771868374357837e-06,0.2,369987.3628125,100000.0,0.0,1800000,2900,-3696349.45,,,
,,,,,,,,,,1800000,,,6137,30,293
0.0003,-2.7080478048324585,183401.671875,2.7875105e-08,1.1920928955078125e-07,-1.0480489709152608e-05,0.2,367983.215625,100000.0,0.0,2100000,3400,-3696582.05,,,
0.0003,-2.708047671318054,182408.671875,4.7858556e-08,1.1920928955078125e-07,-1.7831101436627251e-06,0.2,365990.0553125,100000.0,0.0,2400000,3900,-3696628.3,,,
,,,,,,,,,,2400000,,,8218,40,292
0.0003,-2.708047652244568,181419.828125,6.762147e-08,-1.1920928955078125e-07,-7.788866348619194e-06,0.2,364006.7521875,100000.0,0.0,2700000,4400,-3696715.1,,,
0.0003,-2.708047456741333,180434.5,4.7940016e-08,1.1920928955078125e-07,-9.790385952612724e-07,0.2,362031.5559375,100000.0,0.0,3000000,4900,-3696931.5,,,
,,,,,,,,,,3000000,,,10302,50,291
0.0003,-2.7080470275878907,179451.96875,2.7523438e-08,-1.1920928955078125e-07,-2.9245365400498713e-06,0.2,360062.393125,100000.0,0.0,3300000,5400,-3696443.6,,,
0.0003,-2.708046612739563,178472.28125,2.8271476e-08,-2.384185791015625e-07,-1.304052531850175e-05,0.2,358099.423125,100000.0,0.0,3600000,5900,-3695978.6,,,
,,,,,,,,,,3600000,,,12382,60,290
0.0003,-2.7080461978912354,177495.421875,1.9902984e-08,-1.1920928955078125e-07,7.2577087371428206e-06,0.2,356142.6065625,100000.0,0.0,3900000,6400,-3695681.3,,,
0.0003,-2.708046190738678,176522.234375,3.567934e-08,-1.1920928955078125e-07,5.198534312711445e-07,0.2,354192.00125,100000.0,0.0,4200000,6900,-3696325.9,,,
,,,,,,,,,,4200000,,,14458,70,290
0.0003,-2.708046164512634,175551.3125,2.0173193e-08,0.0,4.119119633969603e-06,0.2,352247.14125,100000.0,0.0,4500000,7400,-3696662.2,,,
0.0003,-2.7080462169647217,174583.125,4.022618e-08,2.384185791015625e-07,-4.975900026238378e-06,0.2,350307.518125,100000.0,0.0,4800000,7900,-3695438.1,,,
,,,,,,,,,,4800000,,,16540,80,290
0.0003,-2.7080461287498476,173617.625,3.955563e-08,0.0,-5.954273626196383e-07,0.2,348373.3940625,100000.0,0.0,5100000,8400,-3697367.5,,,
0.0003,-2.7080460596084595,172654.796875,5.5477024e-08,0.0,-3.305248573939323e-06,0.2,346444.575,100000.0,0.0,5400000,8900,-3696185.0,,,
,,,,,,,,,,5400000,,,18632,90,289
0.0003,-2.708045518398285,171694.59375,5.1626564e-08,0.0,-5.0460195588186705e-06,0.2,344521.006875,100000.0,0.0,5700000,9400,-3696468.6,,,
0.0003,-2.708044271469116,170737.125,1.6078353e-08,-1.1920928955078125e-07,1.1527617851925242e-06,0.2,342602.893125,100000.0,0.0,6000000,9900,-3696781.85,,,
,,,,,,,,,,6000000,,,20733,100,289
0.0003,-2.7080445384979246,169782.265625,3.1886497e-08,-1.1920928955078125e-07,-1.9651193647973743e-06,0.2,340690.1340625,100000.0,0.0,6300000,10400,-3696660.7,,,
0.0003,-2.708043749332428,168829.78125,3.618697e-08,1.1920928955078125e-07,-4.482908002145791e-06,0.2,338781.9046875,100000.0,0.0,6600000,10900,-3696584.9,,,
,,,,,,,,,,6600000,,,22836,110,289
0.0003,-2.7080426096916197,167880.125,3.5942595e-08,1.1920928955078125e-07,-7.352751126745716e-06,0.2,336879.490625,100000.0,0.0,6900000,11400,-3696341.6,,,
0.0003,-2.7080427169799806,166933.390625,4.7578414e-08,1.1920928955078125e-07,-5.212534420024895e-06,0.2,334982.77375,100000.0,0.0,7200000,11900,-3696251.9,,,
,,,,,,,,,,7200000,,,24934,120,288
0.0003,-2.70804249048233,165989.3125,3.995498e-08,-1.1920928955078125e-07,-5.341184910321317e-06,0.2,333091.414375,100000.0,0.0,7500000,12400,-3696481.95,,,
0.0003,-2.7080422258377075,165047.84375,7.87278e-09,2.384185791015625e-07,-5.249140665455343e-06,0.2,331205.475,100000.0,0.0,7800000,12900,-3696470.8,,,
,,,,,,,,,,7800000,,,27044,130,288
0.0003,-2.708042788505554,164109.09375,5.9651335e-08,-2.384185791015625e-07,-8.311109691021556e-06,0.2,329324.7428125,100000.0,0.0,8100000,13400,-3697203.9,,,
0.0003,-2.7080431938171388,163173.0,3.556808e-08,5.960464477539063e-08,7.397417869015044e-06,0.2,327449.3915625,100000.0,0.0,8400000,13900,-3696368.4,,,
,,,,,,,,,,8400000,,,29150,140,288
0.0003,-2.7080424857139587,162239.59375,3.154377e-08,2.980232238769531e-07,-1.2434167856554268e-05,0.2,325579.53,100000.0,0.0,8700000,14400,-3696457.3,,,
0.0003,-2.7080439138412475,161308.96875,5.142987e-08,1.1920928955078125e-07,4.022588110155212e-06,0.2,323714.965,100000.0,0.0,9000000,14900,-3695828.9,,,
,,,,,,,,,,9000000,,,31254,150,287
